artist,country,city,latitude,longitude,address
Dragon,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
Ulcerate,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
Split Enz,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
Avalanche City,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
The Beths,New Zealand / Aotearoa,Auckland,-36.852095,174.7631803,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa"
Mortal Decay,United States,Audubon,39.8909466,-75.0729504,"Audubon, Camden County, New Jersey, 08106, United States"
Dead Confederate,United States,Augusta,33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States"
Dixie Dregs,United States,Augusta,33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States"
Veara,United States,Augusta,33.4709714,-81.9748429,"Augusta, Richmond County, Georgia, United States"
Last Chance to Reason,United States,Augusta,44.3169922,-69.7734278,"Augusta, Kennebec County, Maine, 04330, United States"
Trouble,United States,Aurora,41.7571701,-88.3147539,"Aurora, Aurora Township, Kane County, Illinois, United States"
Pop Unknown,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Averse Sefira,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Balmorhea,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
The Black,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Ringo Deathstarr,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Mineral,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
Eric Johnson,United States,Austin,30.2711286,-97.7436995,"Austin, Travis County, Texas, United States"
