city,state,population
Kings Park,New York,16424
Conyers,Georgia,16256
Sulphur Springs,Texas,16234
Mount Clemens,Michigan,16163
Prospect Heights,Illinois,15887
Floral Park,New York,15844
Lake Geneva,Wisconsin,15518
Asbury Park,New Jersey,15408
Westbury,New York,15351
Washington Court House,Ohio,15059
Astoria,Oregon,14916
Hartsville,South Carolina,14693
Williamstown,New Jersey,14641
Corinth,Mississippi,14472
Greensburg,Pennsylvania,14113
Middleburg,Florida,14111
Fort Payne,Alabama,14074
Beacon,New York,13968
Hammonton,New Jersey,13934
El Sobrante,California,13881
Ephrata,Pennsylvania,13862
Maumee,Ohio,13669
Elizabethton,Tennessee,13509
Marion,North Carolina,13454
Lindale,Texas,13442
Oskaloosa,Iowa,12592
Belmont,North Carolina,12558
Endicott,New York,12532
Stony Brook,New York,12428
Palmer,Massachusetts,12232
Moncks Corner,South Carolina,11986
Red Bank,New Jersey,11966
Malibu,California,11820
Scotts Valley,California,11757
Glen Rock,New Jersey,11707
Fenton,Michigan,11403
Piedmont,California,11135
Mount Sinai,New York,11101
Moss Bluff,Louisiana,11055
Wasilla,Alaska,10838
Mount Kisco,New York,10795
Rodeo,California,10409
Kennett,Missouri,10379
Sedona,Arizona,10339
Vernon,Texas,10323
Vashon,Washington,10291
Great Neck,New York,10209
Waverly,Iowa,10198
Havre,Montana,10155
Kutztown,Pennsylvania,10137
Laurens,South Carolina,10008
Marysville,Michigan,9672
Fort Stewart,Georgia,9643
Keansburg,New Jersey,9632
Lititz,Pennsylvania,9465
Brownsville,Tennessee,9435
Amityville,New York,9399
Gridley,California,9237
South Amboy,New Jersey,9176
Monmouth,Illinois,9084
Valley Cottage,New York,9023
Mechanicsburg,Pennsylvania,8990
Aledo,Texas,8909
Quakertown,Pennsylvania,8784
Fort Knox,Kentucky,8695
Montesano,Washington,8685
Matawan,New Jersey,8640
Monahans,Texas,8639
Audubon,New Jersey,8637
Charlestown,Indiana,8370
Haledon,New Jersey,8293
Montecito,California,8245
Oberlin,Ohio,8199
Willits,California,8055
Topanga,California,7900
Grand Ledge,Michigan,7896
Hastings-on-Hudson,New York,7853
Creston,Iowa,7713
Bernardsville,New Jersey,7594
Marshall,Michigan,7548
Pikeville,Kentucky,7531
Northport,New York,7273
Pleasantville,New York,7260
Nyack,New York,7156
Flatwoods,Kentucky,7079
Keyport,New Jersey,6977
Ocean City,Maryland,6944
Linwood,New Jersey,6658
Winthrop Harbor,Illinois,6618
Camilla,Georgia,6488
Red Lion,Pennsylvania,6330
Morris Plains,New Jersey,6255
Dumfries,Virginia,5922
Mineola,Texas,5919
Littlefield,Texas,5843
Woodcliff Lake,New Jersey,5839
Dripping Springs,Texas,5708
New Castle,Delaware,5392
Grayson,Kentucky,5277
Grosse Pointe,Michigan,5154
Carle Place,New York,5131
Carmi,Illinois,5111
Glen Head,New York,5053
Adairsville,Georgia,4963
Salem,Missouri,4919
Davison,Michigan,4881
Flemington,New Jersey,4577
Pinetop-Lakeside,Arizona,4469
Churchville,Pennsylvania,4412
Coopersville,Michigan,4387
Buchanan,Michigan,4263
Ho-Ho-Kus,New Jersey,4065
Tiptonville,Tennessee,3971
Shingle Springs,California,3846
South Glens Falls,New York,3634
Romeo,Michigan,3606
Newcastle,Wyoming,3397
Tipton,Missouri,3389
Mansfield,Pennsylvania,3341
Story City,Iowa,3320
Wellsville,Ohio,3306
Grand Saline,Texas,3273
Hauula,Hawaii,3233
Bedford Hills,New York,3225
Mannford,Oklahoma,3194
Minden,Nevada,3151
Nevada City,California,3148
Benson,Minnesota,3043
Mohnton,Pennsylvania,3018
Sylva,North Carolina,2738
New Hope,Pennsylvania,2530
Yardley,Pennsylvania,2514
Escatawpa,Mississippi,2257
Guyton,Georgia,2226
South Fallsburg,New York,2168
Corralitos,California,2160
Penndel,Pennsylvania,2157
Rainier,Oregon,2010
Sussex,New Jersey,1985
Linden,Texas,1915
Southport,Indiana,1770
Crested Butte,Colorado,1723
Jonesboro,Illinois,1700
Chapin,South Carolina,1633
Tryon,North Carolina,1615
Edmonton,Kentucky,1595
Langhorne,Pennsylvania,1580
Pilot Mountain,North Carolina,1413
Millbrook,New York,1406
Oblong,Illinois,1371
Glen Dale,West Virginia,1371
Milton,New York,1294
Dover Plains,New York,1096
McLeansville,North Carolina,1044
Belle Vernon,Pennsylvania,1031
New Cumberland,West Virginia,1006
Milford,Pennsylvania,982
Occidental,California,823
Upper Marlboro,Maryland,673
Gas,Kansas,501
Kingsland,Arkansas,400
