city,state,country,population
Monroe,Louisiana,United States,112891
Pompano Beach,Florida,United States,112118
West Palm Beach,Florida,United States,111955
Waterloo,Iowa,United States,111631
Everett,Washington,United States,111475
El Centro,California,United States,111425
Santa Fe,New Mexico,United States,111269
Downey,California,United States,111126
Lowell,Massachusetts,United States,110997
Elgin,Illinois,United States,110849
Burlington,Vermont,United States,109763
Eau Claire,Wisconsin,United States,107404
Turlock,California,United States,107317
Temple,Texas,United States,107258
Sioux City,Iowa,United States,106455
Salisbury,Maryland,United States,106447
West Covina,California,United States,105101
Wichita Falls,Texas,United States,104683
San Mateo,California,United States,104430
El Cajon,California,United States,102708
Burbank,California,United States,102511
Vista,California,United States,101638
Vacaville,California,United States,101444
Carmel,Indiana,United States,101068
San Angelo,Texas,United States,101004
Charlottesville,Virginia,United States,100416
Boca Raton,Florida,United States,99805
Beaverton,Oregon,United States,99037
Lawrence,Kansas,United States,98648
Orem,Utah,United States,97828
Federal Way,Washington,United States,96289
Mandeville,Louisiana,United States,95968
Bowling Green,Kentucky,United States,95135
Quincy,Massachusetts,United States,94470
Chino,California,United States,94371
Lynn,Massachusetts,United States,94299
Hanford,California,United States,94028
Dearborn,Michigan,United States,93932
Livonia,Michigan,United States,93665
South Gate,California,United States,93444
Florence,South Carolina,United States,93131
Portsmouth,New Hampshire,United States,93069
Lawton,Oklahoma,United States,93025
Kirkland,Washington,United States,93010
Missoula,Montana,United States,92895
Auburn,Alabama,United States,92777
Blacksburg,Virginia,United States,91888
Santa Monica,California,United States,90401
New Braunfels,Texas,United States,90209
Norwalk,Connecticut,United States,88816
Newton,Massachusetts,United States,88414
State College,Pennsylvania,United States,87723
Hawthorne,California,United States,86068
Anderson,Indiana,United States,85992
Redwood City,California,United States,85925
Lake Forest,California,United States,85531
Whittier,California,United States,85098
Newport Beach,California,United States,84534
Joplin,Missouri,United States,84048
Chino Hills,California,United States,83853
Alhambra,California,United States,83750
Franklin,Tennessee,United States,83097
Melbourne,Florida,United States,83029
Pleasanton,California,United States,81777
Silver Spring,Maryland,United States,81773
Cranston,Rhode Island,United States,81456
Somerville,Massachusetts,United States,81360
Williamsburg,Virginia,United States,80441
Valdosta,Georgia,United States,79820
New Rochelle,New York,United States,78557
Layton,Utah,United States,78014
Upland,California,United States,77140
Davis,California,United States,76997
San Marcos,Texas,United States,76218
Oshkosh,Wisconsin,United States,75536
Waldorf,Maryland,United States,75489
Kendall,Florida,United States,75312
Conway,Arkansas,United States,74951
Gary,Indiana,United States,74879
Lodi,California,United States,74773
Jackson,Tennessee,United States,74065
Evanston,Illinois,United States,73473
Ellicott City,Maryland,United States,72665
Dale City,Virginia,United States,72627
Maple Grove,Minnesota,United States,72622
Morgantown,West Virginia,United States,72458
Harrisonburg,Virginia,United States,72386
Redmond,Washington,United States,71929
Redlands,California,United States,71513
Sherman,Texas,United States,70704
Walnut Creek,California,United States,70166
Passaic,New Jersey,United States,69703
Sheboygan,Wisconsin,United States,69393
Daytona Beach,Florida,United States,69186
Lima,Ohio,United States,68878
Rockville,Maryland,United States,68079
Gaithersburg,Maryland,United States,67985
Union City,New Jersey,United States,67982
Ames,Iowa,United States,67910
Yorba Linda,California,United States,67644
Palatine,Illinois,United States,67482
DeKalb,Illinois,United States,66959
Petaluma,California,United States,66929
Laguna Niguel,California,United States,66385
Bay City,Michigan,United States,66107
North Little Rock,Arkansas,United States,65903
Carbondale,Illinois,United States,65671
Palo Alto,California,United States,65364
Great Falls,Montana,United States,65131
Bayonne,New Jersey,United States,64897
Noblesville,Indiana,United States,64668
Chapel Hill,North Carolina,United States,64051
Haverhill,Massachusetts,United States,64014
Parkersburg,West Virginia,United States,62566
San Luis Obispo,California,United States,62290
Hamilton,Ohio,United States,62082
Rome,Georgia,United States,61537
Sanford,Florida,United States,61448
Reston,Virginia,United States,61147
Taylor,Michigan,United States,60922
Marietta,Georgia,United States,60867
La Habra,California,United States,60513
Bangor,Maine,United States,59772
Bradenton,Florida,United States,59439
Pontiac,Michigan,United States,59438
Meriden,Connecticut,United States,59395
Royal Oak,Michigan,United States,59277
Middletown,New York,United States,58592
Hendersonville,Tennessee,United States,58113
White Plains,New York,United States,58109
Jefferson City,Missouri,United States,58025
Towson,Maryland,United States,57817
Parker,Colorado,United States,57706
Bozeman,Montana,United States,57695
Huntington Park,California,United States,57509
Blue Springs,Missouri,United States,55829
Tinley Park,Illinois,United States,55773
New Brunswick,New Jersey,United States,55676
Novato,California,United States,55516
Ithaca,New York,United States,55137
Chicopee,Massachusetts,United States,55126
Kingston,New York,United States,54791
West Haven,Connecticut,United States,54620
Normal,Illinois,United States,54469
Rosemead,California,United States,54058
Leesburg,Virginia,United States,53727
Palm Desert,California,United States,53275
Revere,Massachusetts,United States,53073
Helena,Montana,United States,52936
Wheaton,Illinois,United States,52745
Hoboken,New Jersey,United States,52677
Oak Park,Illinois,United States,52381
Levittown,New York,United States,51634
Glendora,California,United States,51544
Perth Amboy,New Jersey,United States,51390
Placentia,California,United States,51233
Kannapolis,North Carolina,United States,50841
Mishawaka,Indiana,United States,50363
Plainfield,New Jersey,United States,50317
Stillwater,Oklahoma,United States,50299
Morehead City,North Carolina,United States,49760
Coral Gables,Florida,United States,49700
Minot,North Dakota,United States,49425
Poway,California,United States,49323
Cypress,California,United States,49006
Roswell,New Mexico,United States,48889
Draper,Utah,United States,48587
Palm Springs,California,United States,48518
Findlay,Ohio,United States,48469
La Mirada,California,United States,48183
East Lansing,Michigan,United States,48145
Uniontown,Pennsylvania,United States,48137
Cumberland,Maryland,United States,47980
Rancho Santa Margarita,California,United States,47896
Potomac,Maryland,United States,45940
Tupelo,Mississippi,United States,45466
Lufkin,Texas,United States,44867
Lombard,Illinois,United States,44303
Eureka,California,United States,44236
Sayreville,New Jersey,United States,44173
Altamonte Springs,Florida,United States,44143
Moorhead,Minnesota,United States,43652
Rohnert Park,California,United States,43291
Freeport,New York,United States,42956
Hicksville,New York,United States,42709
Urbana,Illinois,United States,42214
Beverly,Massachusetts,United States,42174
Statesboro,Georgia,United States,42102
Campbell,California,United States,41793
La Quinta,California,United States,41748
Newnan,Georgia,United States,41581
Westfield,Massachusetts,United States,41204
Spanish Fork,Utah,United States,40913
Belleville,Illinois,United States,40897
Wilkes-Barre,Pennsylvania,United States,40766
Pottsville,Pennsylvania,United States,40685
Bluefield,West Virginia,United States,40640
Cedar Falls,Iowa,United States,40536
Jamestown,New York,United States,40493
Covington,Kentucky,United States,40341
Amherst,Massachusetts,United States,39814
Muskogee,Oklahoma,United States,39789
Chelsea,Massachusetts,United States,39690
Issaquah,Washington,United States,39509
Germantown,Tennessee,United States,39225
Annapolis,Maryland,United States,39223
Culver City,California,United States,39185
Oxford,Mississippi,United States,38310
