artist,city,state,population
Jim Croce,Philadelphia,Pennsylvania,5649300
Kurt Vile,Philadelphia,Pennsylvania,5649300
Todd Rundgren,Philadelphia,Pennsylvania,5649300
Clap Your Hands Say Yeah,Philadelphia,Pennsylvania,5649300
A Life Once Lost,Philadelphia,Pennsylvania,5649300
The Dead Milkmen,Philadelphia,Pennsylvania,5649300
Free Energy,Philadelphia,Pennsylvania,5649300
Dysrhythmia,Philadelphia,Pennsylvania,5649300
Modern Baseball,Philadelphia,Pennsylvania,5649300
Hop Along,Philadelphia,Pennsylvania,5649300
The Minor Times,Philadelphia,Pennsylvania,5649300
Hightide Hotel,Philadelphia,Pennsylvania,5649300
Grayscale,Philadelphia,Pennsylvania,5649300
Rosetta,Philadelphia,Pennsylvania,5649300
Bardo Pond,Philadelphia,Pennsylvania,5649300
Marietta,Philadelphia,Pennsylvania,5649300
Nazz,Philadelphia,Pennsylvania,5649300
Mirah,Philadelphia,Pennsylvania,5649300
Man Man,Philadelphia,Pennsylvania,5649300
"Us, From Outside",Philadelphia,Pennsylvania,5649300
Mischief Brew,Philadelphia,Pennsylvania,5649300
Gregory Alan Isakov,Philadelphia,Pennsylvania,5649300
Welcome the Plague Year,Philadelphia,Pennsylvania,5649300
The War On Drugs,Philadelphia,Pennsylvania,5649300
Towers,Philadelphia,Pennsylvania,5649300
Beach Slang,Philadelphia,Pennsylvania,5649300
Britny Fox,Philadelphia,Pennsylvania,5649300
Hash Jar Tempo,Philadelphia,Pennsylvania,5649300
Everyone Everywhere,Philadelphia,Pennsylvania,5649300
Good Old War,Philadelphia,Pennsylvania,5649300
mewithoutYou,Philadelphia,Pennsylvania,5649300
