artist,country,city,latitude,longitude,address,state
The Pastels,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Aereogramme,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Paws,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Cosmic Dead,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Life Without Buildings,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Fratellis,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Dananananaykroyd,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Long Fin Killie,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Wake,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Sithu Aye,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Cerebral Bore,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Admiral Fallow,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Blue Nile,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Falloch,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Bis,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Delgados,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Travis,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Bleed from Within,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Saor,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
God Help The Girl,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Man Must Die,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Vaselines,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Primal Scream,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Errors,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Del Amitri,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Belle and Sebastian,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Unwinding Hours,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Twin Atlantic,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Mogwai,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Azriel,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
There Will Be Fireworks,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Lloyd Cole and the Commotions,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
The Almighty,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Camera Obscura,United Kingdom,Glasgow,55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom",Scotland
Reef,United Kingdom,Glastonbury,51.14804,-2.716577,"Glastonbury, Somerset, England, United Kingdom",Somerset
Genesis,United Kingdom,Godalming,51.1857892,-0.6149074,"Godalming, Waverley, Surrey, England, United Kingdom",Surrey
Lowlife,United Kingdom,Grangemouth,56.0189027,-3.7230303,"Grangemouth, Falkirk, Alba / Scotland, FK3 8BG, United Kingdom",Scotland
Cocteau Twins,United Kingdom,Grangemouth,56.0189027,-3.7230303,"Grangemouth, Falkirk, Alba / Scotland, FK3 8BG, United Kingdom",Scotland
English Dogs,United Kingdom,Grantham,52.913192,-0.6438974,"Grantham, South Kesteven, Lincolnshire, England, United Kingdom",Lincolnshire
Infant Sorrow,United Kingdom,Grays,51.4780898,0.3233131,"Grays, Thurrock, Essex, England, RM17 6NP, United Kingdom",England
Rex Orange County,United Kingdom,Grayshott,51.1101043,-0.7506139,"Grayshott, East Hampshire, Hampshire, England, United Kingdom",Hampshire
Roger Waters,United Kingdom,Great Bookham,51.2780817,-0.373784,"Great Bookham, Mole Valley, Surrey, England, KT23 4JQ, United Kingdom",England
Catherine Wheel,United Kingdom,Great Yarmouth,52.6071742,1.7314845,"Great Yarmouth, Norfolk, England, United Kingdom",Norfolk
The Durutti Column,United Kingdom,Manchester,53.4794892,-2.2451148,"Greater Manchester, England, United Kingdom",Greater Manchester
Yashin,United Kingdom,Greenock,55.9473423,-4.7564721,"Greenock, Inverclyde, Alba / Scotland, PA15 1LT, United Kingdom",Scotland
Demoraliser,United Kingdom,Grimsby,53.5671407,-0.0788045,"Grimsby, North East Lincolnshire, England, DN31 1QG, United Kingdom",England
The Stranglers,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
Binah,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
The Vapors,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
Camel,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
No Consequence,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
Polar.,United Kingdom,Guildford,51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom",Surrey
Dean Blunt,United Kingdom,Hackney,51.5432402,-0.0493621,"Hackney, London Borough of Hackney, London, Greater London, England, E9 6QW, United Kingdom",England
Seventh Angel,United Kingdom,Halesowen,52.4492074,-2.0514646,"Halesowen, Dudley, West Midlands, England, B63 4AB, United Kingdom",England
Robert Plant and the Strange Sensation,United Kingdom,Halesowen,52.37521398170556,-2.045083293299981,"Halesowen Road, Marlbrook, Catshill and North Marlbrook CP, Lydiate Ash, Bromsgrove, Worcestershire, England, B61 0QJ, United Kingdom",England
